skn,name,lat,lng,island
177.2,Io 0257,20.19367,-155.80635,BI
177.1,Iole 0258,20.241549,-155.779528,BI
1147,Fld 960-Moloaa,22.17444115,-159.3360919,KA
1146,Moloaa Dairy,22.18333333,-159.3375,KA
1145,MOLOAA 1145,22.17972,-159.33194,KA
1144.1,ANAHOLA 2.8 N,22.1869,-159.3236,KA
1144,Field 7-A,22.18607715,-159.3188701,KA
1143,Field 30,22.20218961,-159.3472027,KA
1142,Camp 1,22.1777722,-159.3388696,KA
1141,Field 36,22.19443816,-159.3672022,KA
1140,Field 27 (300),22.20221107,-159.3755354,KA
1137,KOLOKO RESERVOIR 113,22.18140774,-159.3777576,KA
1136,Field 23,22.19944652,-159.3888685,KA
1135,KILAUEA FIELD 17,22.18502918,-159.4005349,KA
1134.2,KILAUEA 0.5 SE,22.2057,-159.4048,KA
1134.1,KILAUEA 0.3 SE,22.208,-159.4062,KA
1134,KILAUEA 1134,22.21194093,-159.4072015,KA
1133,KILAUEA POINT 1133,22.23135314,-159.4013684,KA
1132.2,Hwy Fld 41,22.21473095,-159.4333123,KA
1132.11,Common Ground 0602,22.197439,-159.42123,KA
1132.1,Kilauea Fld 3,22.20168903,-159.4255345,KA
1132,Kilauea Fld 3 #1,22.20779162,-159.4255346,KA
1131.7,HanaleiRainGageatHanalei,22.17958333,-159.4663889,KA
1131.5,PRINCEVILLE 2.4 SE,22.1996,-159.458,KA
1131.4,Mauka Field 31,22.19587896,-159.4527565,KA
1131.1,Kapaka,22.17673899,-159.4588675,KA
1131,KALIHWAI RESERVOIR,22.18615576,-159.4288679,KA
1118.8,PRINCEVILLE 0.8 ESE,22.217157,-159.474314,KA
1118.7,PRINCEVILLE 0.5 E,22.2242,-159.4777,KA
1118.6,Lake 6,22.22390641,-159.4719231,KA
1118.5,Lake 2,22.2200242,-159.4741452,KA
1118.4,Wood 9,22.21891848,-159.481923,KA
1118.3,Ocean 7,22.22613387,-159.4888675,KA
1118.2,Puu Pua,22.22142279,-159.4972007,KA
1118.1,Kulaiki,22.22473699,-159.4691453,KA
1118,Makai Fld 16,22.22169532,-159.4874786,KA
1117.9,PRINCEVILLE AIRPORT NEAR KILAUEA 4W,22.2114,-159.443,KA
1117.8,Hanalei,22.1982002,-159.4951,KA
1117.7,Shop,22.21364628,-159.4788675,KA
1117.5,Hanalei,22.21224881,-159.4588676,KA
1117.4,Fld P-24,22.21002604,-159.452201,KA
1117.11,Waipa 0601,22.202647,-159.518833,KA
1117.1,Hanalei-Deverill,22.20006472,-159.5022006,KA
1117,PRINCEVILLE RANCH 1117,22.213196,-159.4722008,KA
1116.2,Lower Limahuli 0603,22.219805,-159.575195,KA
1116.1,"HANALEI 3.0 W, HI US",22.2103,-159.5492,KA
1115.1,PH Wainiha,22.1959991,-159.5563,KA
1115,PH WAINIHA 1115,22.1959,-159.5564,KA
1114,ANAHOLA 1114,22.13418691,-159.3038709,KA
1113.1,Field HC208,22.10672074,-159.3055377,KA
1113,M9,22.11005029,-159.3055377,KA
1112,KEALIA 1112,22.09950672,-159.3055378,KA
1111.4,Anahola,22.1373997,-159.312,KA
1111.3,HC-8,22.16832672,-159.3222034,KA
1111.2,Mol 18,22.16333171,-159.3205368,KA
1111,Anahola,22.14335296,-159.3155371,KA
1110,HALAULA 1110,22.11505514,-159.317204,KA
1107.3,KAPAA 1.7 E,22.0948,-159.3278,KA
1107.2,E Kauai Water 2,22.09397345,-159.3238707,KA
1107.1,Kapaa,22.08840889,-159.3072047,KA
1107,EKW 1 (120),22.08675145,-159.3155377,KA
1104.2,M 19,22.07261625,-159.3369262,KA
1104.1,Sta 35 (Station 35),22.07844384,-159.3372039,KA
1104,KAPAKA STABLES 1104,22.08177006,-159.332204,KA
1102.3,Kealia 0611,22.128016,-159.336382,KA
1102.2,Field 207-A,22.12809836,-159.320537,KA
1102.1,Fld Lihue 3,22.1250533,-159.3288702,KA
1102,Field Makee 2b,22.12340532,-159.3505362,KA
1101.1,Spalding Monu,22.12255786,-159.3308146,KA
1101,Field Lihue 2,22.12310991,-159.3272036,KA
1100.1,Kapahi (Mckee),22.09843088,-159.3472033,KA
1100,Kapahi,22.09953145,-159.3349814,KA
1097.4,KAPAA 1.9 WSW,22.0829,-159.3786,KA
1097.3,KAPAA 1.4 SW,22.0805,-159.3662,KA
1097.2,KAPAA 1.4 SSW,22.0803,-159.3659,KA
1097.1,Field 617,22.08734482,-159.3705361,KA
1097,EKW 4,22.08178786,-159.3588699,KA
1095.1,Newlun's House,22.10677081,-159.3722025,KA
1095,Mimino,22.10841854,-159.3455365,KA
1094.3,KAPAA 1.4 W,22.0936,-159.3758,KA
1094.2,Kapahi,22.1021004,-159.3856,KA
1094.1,EKW3,22.09011798,-159.3672028,KA
1094,E Kaua W 3 (370),22.09844692,-159.3735915,KA
1092.4,Field M1a,22.13700848,-159.3624803,KA
1092.3,Kaneha Res (800),22.12786006,-159.373869,KA
1092.2,Fld W-6,22.12674141,-159.360536,KA
1092,KANEHA RESERVOIR 1092,22.126,-159.365,KA
1086,INTAKE WAINIHA 1086,22.14847963,-159.5672012,KA
1085,Mo-KoaieDivideRainGage,22.11425,-159.5866667,KA
1084,KilohanaRainGafenrHanalei,22.15408333,-159.5946111,KA
1083,MoCrsgRainGagenrWaimea,22.11708333,-159.6009722,KA
1082,WaiakoaliRainGagenrWaimea,22.1245,-159.6220833,KA
1080,PaukahanaRaingagenrWaimea,22.13492222,-159.6260833,KA
1077.1,Lehuamakanoi,22.14544521,-159.6205353,KA
1077,Kalalau,22.16015942,-159.6338687,KA
1076,Kokee,22.1485996,-159.6448,KA
1075,KANALOHULUHULU 1075,22.12972,-159.65861,KA
1074,MAKAHA RIDGE,22.13055556,-159.7152778,KA
1073,Makaha Ridge,22.13296912,-159.7260942,KA
1072.4,Kaaweiki,22.10352935,-159.6916499,KA
1072.3,Puu Lua Res,22.09214019,-159.6769279,KA
1072.1,Puu Lua,22.09019557,-159.6722057,KA
1072,Puu Hinahina,22.09852901,-159.6788719,KA
1071,Makaha,22.125708,-159.715537,KA
1070.1,Polihale,22.09686325,-159.7299845,KA
1070,Fld 130,22.08519629,-159.7505409,KA
1069,PUU LUA,22.08916667,-159.6791667,KA
1068,LBOpaekaaRainGagenrKapaa,22.07561111,-159.3958889,KA
1067,Lot 143,22.07514322,-159.3922024,KA
1066,Field Makee 3c,22.06678006,-159.3255377,KA
1065.3,Kapaa HI US F9608-FW9608,22.072,-159.376,KA
1065.2,"KAPAA 2.3 SW, HI US",22.0721,-159.3767,KA
1065.1,"KAPAA 2.3 SW, HI US",22.0722,-159.3766,KA
1065,WAILUA KAI 1065,22.036817,-159.3405379,KA
1064.3,H 23 Camp 9,22.01795491,-159.3694264,KA
1064.2,Field H-27,22.01712648,-159.3958146,KA
1064.1,H 14,22.01240441,-159.3819262,KA
1064,Camp 9,22.00851623,-159.3722044,KA
1063.3,Kapaa HI US F0098-AH7L,22.071,-159.359,KA
1063.2,"KAPAA 2.7 SSW, HI US",22.0593,-159.365,KA
1063.1,Mount Nondu,22.0537643,-159.3722033,KA
1063,Field 619,22.07179856,-159.3605366,KA
1062.3,Lihue Var Sta,22.03572299,-159.3758147,KA
1062.1,LIHUE VRTY STA 1062.1,22.0239,-159.387,KA
1062,Wailua Uka,22.02184711,-159.3988699,KA
1061.5,Wailua UH Exp Stn,22.066,-159.3962,KA
1061.3,Field H-41,22.04850017,-159.4072025,KA
1061.2,Field 224,22.0612693,-159.4072023,KA
1061.1,Ekw 6,22.06182575,-159.4122021,KA
1061,Ekw 5,22.05682632,-159.4005358,KA
1060,Wailua UH Exp Stn,22.0660992,-159.396,KA
1059,Lihue Variety Stn,22.0240002,-159.3868,KA
1057,Hanamaulu 46,22.06016222,-159.4205353,KA
1055.4,Field H-45,22.03711942,-159.4205357,KA
1055.3,N Fk Wailua R,22.06405228,-159.4363684,KA
1055.2,HANAHANAPUNI 1055.2,22.03028,-159.41583,KA
1055.1,Stable Storm Dch,22.0551695,-159.4422017,KA
1055,NORTH WAILUA RV 1055,22.06405247,-159.4372017,KA
1054.4,Fld Lihue 9,22.01518351,-159.4072032,KA
1054.3,Fld Lihue 8,22.0135174,-159.4055366,KA
1054.2,Fld Lihue 10,22.00851965,-159.4222029,KA
1054.11,Hanamaulu 0641,22.018201,-159.437989,KA
1054.1,Lihue Ditch,22.025257,-159.430849,KA
1054,WAIAHI LOWER 1054,22.01796298,-159.4438689,KA
1053.1,SUMIT CAMP,22.09847635,-159.4455345,KA
1053,HANALEI TUNNEL 1053,22.09404114,-159.4658122,KA
1052.3,Waiahi Rain Gage,22.0227,-159.4651,KA
1052.1,Iliiliula Cutoff,22.02462963,-159.4655351,KA
1052,WAIAHI UPPER 1052,22.02018637,-159.4638686,KA
1051.1,Hanalei Tun Otlt,22.07960453,-159.4616456,KA
1051,NWailuaDitchRainGagenrLihue,22.0625,-159.4677222,KA
1050,ILILULA INTK 1050,22.03962496,-159.4688683,KA
1047,Mt.WaialealeRainGagenrLihue,22.07088889,-159.4979722,KA
1045,WaialealeTrailRaingagenrLihue,22.07605556,-159.5361111,KA
1044,Keanakua 1044,22.067,-159.55,KA
1042,WaialaeRainGagenrWaimea,22.08972222,-159.5925,KA
1040.3,Ks F663,21.99936694,-159.7022113,KA
1040.2,Field 60,22.00408933,-159.7063779,KA
1040.1,Pokii Ridge,22.00853231,-159.685544,KA
1040,PUEHU RIDGE 1040,22.01547687,-159.6922106,KA
1037.1,Kitano,22.029953,-159.674939,KA
1037,Puu Opae Garden,22.04353097,-159.6922094,KA
1036,PUU OPAE,22.04083333,-159.6958333,KA
1035,NIU RIDGE 1035,22.03020119,-159.7355433,KA
1034,Camp 3,22.0185361,-159.7555437,KA
1033,KOLO 1033,22.06686523,-159.7605418,KA
1032,Field A,22.02686904,-159.7572101,KA
1031,Saki Mana,22.05519975,-159.7605423,KA
1030,Field 123,22.0418678,-159.7622096,KA
1029,MANA,22.02944444,-159.7622222,KA
1028,Nohili,22.05311,-159.77582,KA
1027,Limaloa,22.00686743,-159.7738776,KA
